timestamp,open,low,high,close,OPENPOSITIONVALUE,VALUE,VOLUME,open_interest,SETTLEPRICE,SWAPRATE,WAPRICE,CHANGE,QTY,NUMTRADES
2023-04-26,81582.0,81208.0,81582.0,81208.0,105897840.0,570175.0,7.0,1304,81210.0,0.0,81454.0,0.22,1.0,6
2023-04-27,82137.0,81011.0,82137.0,81012.0,105801672.0,650697.0,8.0,1306,81012.0,0.0,81337.0,-0.24,1.0,8
2023-04-28,81321.0,80000.0,81321.0,80517.0,106604508.0,2745130.0,34.0,1324,80517.0,0.0,80739.0,-0.61,1.0,30
2023-05-02,80500.0,79556.0,80500.0,79756.0,105602240.0,1200401.0,15.0,1324,79760.0,0.0,80027.0,-0.95,1.0,13
2023-05-03,79768.0,79018.0,79937.0,79018.0,104145724.0,795907.0,10.0,1318,79018.0,0.0,79591.0,-0.92,1.0,9
2023-05-04,79019.0,78211.0,79915.0,78343.0,104509562.0,1734265.0,22.0,1334,78343.0,0.0,78830.0,-0.85,1.0,19
2023-05-05,78699.0,77827.0,78699.0,78067.0,105074760.0,625097.0,8.0,1340,78414.0,0.0,78137.0,-0.35,1.0,8
2023-05-08,78300.0,78300.0,79179.0,78319.0,106094016.0,786825.0,10.0,1344,78939.0,0.0,78683.0,0.32,1.0,10
2023-05-10,79022.0,77802.0,79547.0,77806.0,106644910.0,2670772.0,34.0,1370,77843.0,0.0,78552.0,-0.66,1.0,30
2023-05-11,77801.0,77600.0,79200.0,78506.0,108188158.0,2502727.0,32.0,1378,78511.0,0.0,78210.0,0.9,1.0,29
2023-05-12,79177.0,78493.0,79985.0,78493.0,111168400.0,4203587.0,53.0,1400,79406.0,0.0,79313.0,-0.02,1.0,39
2023-05-15,79391.0,79391.0,81852.0,80404.0,112246274.0,2818107.0,35.0,1394,80521.0,0.0,80517.0,2.44,1.0,26
2023-05-16,81017.0,79370.0,81096.0,80600.0,115902800.0,3781247.0,47.0,1438,80600.0,0.0,80452.0,0.24,1.0,31
2023-05-17,81096.0,79875.0,81475.0,80077.0,116957680.0,2019835.0,25.0,1460,80108.0,0.0,80793.0,-0.65,1.0,19
2023-05-18,80621.0,80001.0,81920.0,80002.0,118562964.0,3863326.0,48.0,1482,80002.0,0.0,80486.0,-0.09,1.0,31
2023-05-19,80548.0,79004.0,80700.0,80112.0,120168000.0,1523549.0,19.0,1500,80112.0,0.0,80187.0,0.14,1.0,19
2023-05-22,80515.0,80111.0,81444.0,80111.0,119997150.0,2587209.0,32.0,1490,80535.0,0.0,80850.0,0.0,1.0,30
2023-05-23,80756.0,80511.0,81001.0,80665.0,120029520.0,726967.0,9.0,1488,80665.0,0.0,80774.0,0.69,1.0,7
